month,center,course,channel,lead_count,consult_count,enroll_count,revenue,refund_count,ad_cost,note
2026-02,강남센터,고등 입시,홈페이지,26,11,5,3580000,0,60000,
2026-02,강남센터,초등 자기주도,블로그,41,22,8,7000000,0,120000,
2026-02,강남센터,학부모 코칭,카카오채널,73,34,8,7280000,0,130000,
2026-02,강남센터,중등 내신,네이버광고,78,53,12,10590000,0,920000,설명회 유입 포함
2026-02,강남센터,AI 학습관리,지인추천,26,17,7,5010000,0,50000,
2026-02,강남센터,고등 입시,설명회,46,21,5,3570000,0,130000,
2026-02,분당센터,초등 자기주도,홈페이지,54,36,17,9870000,0,100000,
2026-02,분당센터,학부모 코칭,블로그,63,40,17,9500000,2,110000,
2026-02,분당센터,고등 입시,카카오채널,66,29,6,3510000,0,230000,
2026-02,분당센터,초등 자기주도,네이버광고,33,16,6,5700000,0,450000,
2026-02,분당센터,학부모 코칭,지인추천,102,61,32,29920000,0,170000,
2026-02,분당센터,중등 내신,설명회,73,48,10,5740000,2,140000,
2026-02,송파센터,초등 자기주도,홈페이지,94,59,24,18700000,0,160000,
2026-02,송파센터,학부모 코칭,블로그,69,37,7,4020000,0,150000,
2026-02,송파센터,중등 내신,카카오채널,25,13,7,3770000,0,40000,센터명 표기 확인 필요
2026-02,송파센터,AI 학습관리,네이버광고,34,19,9,5730000,0,410000,센터명 표기 확인 필요
2026-02,송파센터,고등 입시,지인추천,101,65,27,16440000,0,300000,
2026-02,송파센터,초등 자기주도,설명회,62,39,12,10210000,0,160000,
2026-02,목동센터,학부모 코칭,홈페이지,60,36,12,9920000,0,110000,
2026-02,목동센터,중등 내신,블로그,40,15,7,6560000,0,100000,
2026-02,목동센터,AI 학습관리,카카오채널,39,18,9,6640000,1,150000,
2026-02,목동센터,학부모 코칭,네이버광고,63,29,5,3690000,2,1190000,
2026-02,목동센터,고등 입시,지인추천,76,42,21,18310000,0,180000,
2026-02,목동센터,초등 자기주도,설명회,39,25,12,7080000,0,80000,
2026-02,대전센터,학부모 코칭,홈페이지,38,27,6,4800000,0,60000,
2026-02,대전센터,중등 내신,블로그,48,19,5,2430000,0,70000,
