month,center,course,capacity,enrolled,attendance_rate,instructor_score,material_score,operation_memo
2026-02,강남센터,초등 자기주도,30,21,0.9396435430140901,4,3.5,
2026-03,강남센터,중등 내신,22,21,0.7798941121318421,3.6,3.5,
2026-04,강남센터,고등 입시,35,26,0.6974485595539045,3.6,4.6,
2026-05,강남센터,학부모 코칭,24,15,0.6954837279037019,4.6,4.2,
2026-06,강남센터,AI 학습관리,19,12,0.8875374666051722,4.2,4.4,교재 링크 안내 강화 필요
2026-07,분당센터,초등 자기주도,19,17,0.8202984507209704,4.5,4.8,
2026-02,분당센터,중등 내신,31,25,0.8655851018422164,4.8,4.7,
2026-03,분당센터,고등 입시,27,23,0.938034623157073,4.7,4.6,
2026-04,분당센터,학부모 코칭,30,29,0.9131393301563276,4.6,3.9,
2026-05,분당센터,AI 학습관리,35,32,0.8948232774065946,4,4,
2026-06,송파센터,초등 자기주도,33,30,0.7688678570728553,4.1,3.7,
2026-07,송파센터,중등 내신,32,24,0.7919706779587796,3.8,4.2,교재 링크 안내 강화 필요
2026-02,송파센터,고등 입시,23,18,0.7353823303352329,4.2,4.9,
2026-03,송파센터,학부모 코칭,25,17,0.8155160155955855,4.9,4,실습 질문 증가
2026-04,송파센터,AI 학습관리,21,17,0.9469992927526528,4.1,4,
2026-05,목동센터,초등 자기주도,27,26,0.7906857840029898,4.1,3.5,교재 링크 안내 강화 필요
2026-06,목동센터,중등 내신,35,27,0.7910853478285026,3.6,4.9,
2026-07,목동센터,고등 입시,25,19,0.7011097795531805,4.9,3.7,
2026-02,목동센터,학부모 코칭,25,16,0.9421492708617103,3.8,3.9,
2026-03,목동센터,AI 학습관리,19,18,0.7292890765580887,3.9,4.6,
2026-04,대전센터,초등 자기주도,35,24,0.7660950031698668,4.6,3.7,실습 질문 증가
2026-05,대전센터,중등 내신,21,15,0.8908635786351193,3.7,3.6,
2026-06,대전센터,고등 입시,23,21,0.7278908482816314,3.7,3.4,
2026-07,대전센터,학부모 코칭,32,22,0.722362067922204,3.5,4.3,
2026-02,대전센터,AI 학습관리,21,14,0.6876056234700173,4.3,4.3,
2026-03,부산센터,초등 자기주도,20,13,0.8376946732446413,4.3,4.2,
2026-04,부산센터,중등 내신,18,15,0.8399347933337595,4.2,4.3,
2026-05,부산센터,고등 입시,28,23,0.8200640444372493,4.3,3.6,
2026-06,부산센터,학부모 코칭,28,22,0.8427265021176482,3.7,4.3,실습 질문 증가
2026-07,부산센터,AI 학습관리,27,22,0.7131804142289548,4.4,4,실습 질문 증가
2026-02,강남센터,초등 자기주도,28,19,0.8444211524466028,4.1,3.5,
2026-03,강남센터,중등 내신,20,17,0.79603425298581,3.6,3.5,
2026-04,강남센터,고등 입시,28,22,0.7000382199905472,3.6,4.1,
2026-05,강남센터,학부모 코칭,25,16,0.698986994250281,4.2,4.1,교재 링크 안내 강화 필요
2026-06,강남센터,AI 학습관리,19,12,0.8088889737796626,4.1,4.8,
2026-07,분당센터,초등 자기주도,19,15,0.7990000822429102,4.8,4.4,
2026-02,분당센터,중등 내신,26,20,0.9390255755935051,4.4,4.5,
2026-03,분당센터,고등 입시,25,24,0.8621385711475182,4.5,3.9,
2026-04,분당센터,학부모 코칭,35,30,0.8741515575756603,3.9,4.1,교재 링크 안내 강화 필요
2026-05,분당센터,AI 학습관리,30,26,0.7659559372092918,4.1,4.8,교재 링크 안내 강화 필요
2026-06,송파센터,초등 자기주도,30,22,0.798235034634946,4.8,4.9,
2026-07,송파센터,중등 내신,23,18,0.9380925711165765,4.9,3.5,실습 질문 증가
2026-02,송파센터,고등 입시,25,24,0.9414982596321716,3.6,3.8,실습 질문 증가
2026-03,송파센터,학부모 코칭,35,34,0.7033093593929665,3.9,3.5,
2026-04,송파센터,AI 학습관리,35,23,0.7606354256710256,3.6,3.5,
2026-05,목동센터,초등 자기주도,19,14,0.6953725941282756,3.6,3.8,
2026-06,목동센터,중등 내신,23,15,0.6973905545413891,3.8,3.8,
2026-07,목동센터,고등 입시,19,12,0.7432207344560539,3.9,3.6,
2026-02,목동센터,학부모 코칭,19,13,0.7548756826545833,3.7,4.2,
2026-03,목동센터,AI 학습관리,22,16,0.7210194180599684,4.3,4.3,
